,user1,user2,user3
"q1 = ""به نام خداوند جان و خرد
کز این برتر اندیشه بر نگذرد""",,,
Doc1 ...,,,
Doc2 ...,,,
Doc3 ...,,,
Doc4 ...,,,
Doc5 ...,,,
Doc6 ...,,,
Doc7 ...,,,
Doc9 ...,,,
Doc10...,,,
,,,
"q2 = ""صورتی بنشینده گشتی ترجمان
بی‌خبر از گفت خود چون طوطیان""",,,
Doc1 ...,,,
Doc2 ...,,,
Doc3 ...,,,
Doc4 ...,,,
Doc5 ...,,,
Doc6 ...,,,
Doc7 ...,,,
Doc9 ...,,,
Doc10...,,,
,,,
"q3 = ""تو نیکو روش باش تا بد سگال
نیابد به نقص تو گفتن مجال""",,,
Doc1 ...,,,
Doc2 ...,,,
Doc3 ...,,,
Doc4 ...,,,
Doc5 ...,,,
Doc6 ...,,,
Doc7 ...,,,
Doc9 ...,,,
Doc10...,,,
"q4 = ""دلم خانهٔ مهر یار است و بس
از آن می‌نگنجد در او کین کس""",,,
Doc1 ...,,,
Doc2 ...,,,
Doc3 ...,,,
Doc4 ...,,,
Doc5 ...,,,
Doc6 ...,,,
Doc7 ...,,,
Doc9 ...,,,
Doc10...,,,
"q5 = ""عجب ناید از سیرت بخردان
که نیکی کنند از کرم با بدان""",,,
Doc1 ...,,,
Doc2 ...,,,
Doc3 ...,,,
Doc4 ...,,,
Doc5 ...,,,
Doc6 ...,,,
Doc7 ...,,,
Doc9 ...,,,
Doc10...,,,
"q6 = ""شب پره گر وصل آفتاب نخواهد
رونق بازار آفتاب نکاهد""",,,
Doc1 ...,,,
Doc2 ...,,,
Doc3 ...,,,
Doc4 ...,,,
Doc5 ...,,,
Doc6 ...,,,
Doc7 ...,,,
Doc8 ...,,,
Doc9 ...,,,
Doc10 ...,,,
"q7 = ""هر که بی او به سر نشاید برد
گر جفایی کند بباید برد""",,,
Doc1 ...,,,
Doc2 ...,,,
Doc3 ...,,,
Doc4 ...,,,
Doc5 ...,,,
Doc6 ...,,,
Doc7 ...,,,
Doc9 ...,,,
Doc10...,,,
"q8 = ""صبر قفا خورد و به راهی گریخت
عقل بلا دید و به کنجی نشست""",,,
Doc1 ...,,,
Doc2 ...,,,
Doc3 ...,,,
Doc4 ...,,,
Doc5 ...,,,
Doc6 ...,,,
Doc7 ...,,,
Doc9 ...,,,
Doc10...,,,
"q9 = ""هر که بیفتاد به تیرت نخاست
وان که درآمد به کمندت نجست
ما به تو یک باره مقید شدیم
مرغ به دام آمد و ماهی به شست
صبر قفا خورد و به راهی گریخت
عقل بلا دید و به کنجی نشست
بار مذلت بتوانم کشید
عهد محبت نتوانم شکست
وین رمقی نیز که هست از وجود
پیش وجودت نتوان گفت هست""",,,
Doc1 ...,,,
Doc2 ...,,,
Doc3 ...,,,
Doc4 ...,,,
"q4 = ""دلم خانهٔ مهر یار است و بس
از آن می‌نگنجد در او کین کس""",,,
Doc1 ...,,,
Doc2 ...,,,
Doc3 ...,,,
Doc4 ...,,,
Doc5 ...,,,
Doc6 ...,,,
Doc7 ...,,,
Doc9 ...,,,
Doc10...,,,
"q10 = ""ببرد از من قرار و طاقت و هوش
بت سنگین دل سیمین بناگوش
نگاری چابکی شنگی کلهدار
ظریفی مه وشی ترکی قباپوش
ز تاب آتش سودای عشقش
به سان دیگ دایم می‌زنم جوش
چو پیراهن شوم آسوده خاطر
گرش همچون قبا گیرم در آغوش
اگر پوسیده گردد استخوانم
نگردد مهرت از جانم فراموش
دل و دینم دل و دینم ببرده‌ست
بر و دوشش بر و دوشش بر و دوش
دوای تو دوای توست حافظ
لب نوشش لب نوشش لب نوش""",,,
Doc1 ...,,,
Doc2 ...,,,
Doc3 ...,,,
Doc4 ...,,,
Doc5 ...,,,
Doc6 ...,,,
Doc7 ...,,,
Doc9 ...,,,
Doc10...,,,